City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
87,ancud,-41.87,-73.82,59.0,87,76,4.7,CL,1580007498
88,andros town,24.7,-77.77,71.6,83,40,4.7,BS,1580007498
89,khash,28.22,61.22,42.93,77,0,5.06,IR,1580007498
90,cabo san lucas,22.89,-109.91,69.01,77,75,3.36,MX,1580007493
91,thompson,55.74,-97.86,15.8,92,90,2.24,CA,1580007202
92,rio gallegos,-51.62,-69.22,50.0,53,0,20.8,AR,1580007296
93,cidreira,-30.18,-50.21,75.56,68,74,14.32,BR,1580007499
94,los llanos de aridane,28.66,-17.92,60.8,55,29,6.93,ES,1580007499
95,todi,42.78,12.4,48.0,100,100,2.24,IT,1580007499
96,castro,-24.79,-50.01,61.63,93,0,2.84,BR,1580007499
97,zeya,53.75,127.27,-16.19,89,18,3.58,RU,1580007500
98,lebu,-37.62,-73.65,61.23,85,0,7.78,CL,1580007320
99,huarmey,-10.07,-78.15,76.44,62,100,4.16,PE,1580007285
100,sao joao da barra,-21.64,-41.05,73.27,90,100,5.39,BR,1580007289
101,bayan,46.08,127.4,19.99,39,7,9.01,CN,1580007500
102,upernavik,72.79,-56.15,-14.24,94,100,7.61,GL,1580007501
103,nurota,40.56,65.69,26.6,92,94,0.98,UZ,1580007501
104,tiksi,71.69,128.87,-28.1,67,0,5.19,RU,1580007501
105,saint anthony,45.02,-93.22,28.99,86,1,3.36,US,1580007349
106,chokurdakh,70.63,147.92,-22.23,86,100,5.99,RU,1580007501
107,atar,20.52,-13.05,70.45,24,100,9.01,MR,1580007502
108,fort frances,48.6,-93.4,25.0,85,90,3.36,CA,1580007502
109,balaguer,41.79,0.81,48.2,87,75,8.05,ES,1580007502
110,pevek,69.7,170.31,-9.44,96,100,0.45,RU,1580007502
111,albany,42.6,-73.97,39.2,100,90,3.36,US,1580007502
112,haverfordwest,51.8,-4.97,46.0,96,60,7.0,GB,1580007503
113,ketchikan,55.34,-131.65,46.4,87,90,23.04,US,1580007503
114,muzhi,65.37,64.67,-7.01,99,95,2.35,RU,1580007503
115,camacha,33.08,-16.33,59.0,77,20,8.05,PT,1580007503
116,lata,40.16,-8.33,50.0,100,40,4.7,PT,1580007504
117,nikolskoye,59.7,30.79,30.99,86,20,4.47,RU,1580007285
118,avarua,-21.21,-159.78,84.2,83,100,11.41,CK,1580007504
119,meiringen,46.73,8.18,32.0,86,75,1.12,CH,1580007505
120,ust-maya,60.42,134.53,-37.53,94,48,1.16,RU,1580007505
121,aykhal,66.0,111.5,-27.4,74,100,6.71,RU,1580007418
122,valparaiso,-33.04,-71.63,62.6,93,62,3.36,CL,1580007505
123,sitka,57.05,-135.33,46.4,70,90,24.16,US,1580007313
124,hobyo,5.35,48.53,77.79,81,100,10.33,SO,1580007506
125,lazaro cardenas,17.96,-102.2,73.53,79,48,1.97,MX,1580007506
126,lhokseumawe,5.18,97.15,79.18,69,100,3.44,ID,1580007506
127,carnarvon,-24.87,113.63,84.2,58,13,19.46,AU,1580007506
128,yumen,40.28,97.2,20.57,61,0,1.07,CN,1580007305
129,ribeira grande,38.52,-28.7,54.21,74,99,5.59,PT,1580007507
130,dhidhdhoo,6.88,73.1,82.02,65,100,4.36,MV,1580007303
131,butaritari,3.07,172.79,85.51,72,100,9.89,KI,1580007507
132,kizukuri,40.81,140.39,35.01,63,75,6.93,JP,1580007508
133,salalah,17.02,54.09,77.0,78,75,3.36,OM,1580007235
134,mitu,1.2,-70.17,75.96,88,85,1.61,CO,1580007508
135,batemans bay,-35.72,150.18,93.99,81,0,1.99,AU,1580007274
136,waingapu,-9.66,120.26,83.86,74,61,6.71,ID,1580007283
137,sorland,67.67,12.69,35.04,74,100,29.84,NO,1580007368
138,havre-saint-pierre,50.23,-63.6,15.8,85,90,2.24,CA,1580007361
139,wanning,18.8,110.4,62.89,86,100,11.99,CN,1580007509
140,cayenne,4.93,-52.33,75.2,94,90,9.17,GF,1580007345
141,henties bay,-22.12,14.28,62.01,96,0,2.66,NA,1580007358
142,sur,22.57,59.53,67.05,83,7,5.73,OM,1580007511
143,guanare,9.04,-69.74,76.21,59,4,2.01,VE,1580007511
144,narsaq,60.92,-46.05,12.2,72,96,5.82,GL,1580007367
145,new norfolk,-42.78,147.06,72.0,35,40,18.34,AU,1580007513
146,samarai,-10.62,150.67,84.76,74,79,4.03,PG,1580007513
147,gat,31.61,34.76,45.0,86,0,2.24,IL,1580007373
148,naryan-mar,67.67,53.09,-9.47,100,100,6.96,RU,1580007381
149,musoma,-1.5,33.8,66.2,93,75,5.41,TZ,1580007514
150,sinnamary,5.38,-52.95,79.95,83,100,18.81,GF,1580007514
151,victoria,22.29,114.16,62.01,87,40,10.29,HK,1580007500
152,beringovskiy,63.05,179.32,14.74,85,100,5.86,RU,1580007311
153,bucyrus,40.81,-82.98,34.0,97,90,10.29,US,1580007515
154,college,64.86,-147.8,-9.99,74,1,4.59,US,1580007515
155,busselton,-33.65,115.33,91.99,29,97,5.23,AU,1580007286
156,haines junction,60.75,-137.51,-14.78,99,100,5.93,CA,1580007515
157,rock springs,41.59,-109.2,30.2,80,90,10.29,US,1580007515
158,port lincoln,-34.73,135.87,74.1,54,32,10.18,AU,1580007516
159,roma,43.21,-75.46,35.01,100,90,5.82,US,1580007516
160,kenora,49.82,-94.43,21.2,92,90,2.24,CA,1580007516
161,evensk,61.95,159.23,15.19,87,100,21.16,RU,1580007516
162,guiratinga,-16.35,-53.76,72.3,87,97,1.7,BR,1580007516
163,hasaki,35.73,140.83,43.0,93,75,8.05,JP,1580007517
164,soavinandriana,-19.17,46.73,65.62,85,83,4.23,MG,1580007517
165,khandyga,62.67,135.6,-40.04,92,0,0.67,RU,1580007517
166,texas city,29.38,-94.9,64.99,72,90,19.46,US,1580007517
167,port macquarie,-31.43,152.92,91.99,52,32,13.87,AU,1580007517
168,vila franca do campo,37.72,-25.43,57.2,82,40,3.36,PT,1580007518
169,baherden,38.44,57.43,29.28,80,0,9.48,TM,1580007388
170,jinka,5.65,36.65,70.83,68,100,4.34,ET,1580007518
171,vanimo,-2.67,141.3,83.39,82,61,16.02,PG,1580007328
172,severo-kurilsk,50.68,156.12,18.86,92,100,40.24,RU,1580007519
173,billings,45.78,-108.5,39.99,41,75,11.41,US,1580007407
174,kahului,20.89,-156.47,82.4,57,20,14.99,US,1580007519
175,yatou,37.15,122.38,40.77,62,100,18.5,CN,1580007519
176,qaanaaq,77.48,-69.36,-12.03,43,55,4.43,GL,1580007520
177,garissa,-0.45,39.64,76.91,88,100,1.28,KE,1580007520
178,bambanglipuro,-7.95,110.28,85.82,65,2,8.81,ID,1580007521
179,vestmanna,62.16,-7.17,44.6,93,100,19.46,FO,1580007521
180,sangar,63.92,127.47,-35.7,92,0,4.83,RU,1580007521
181,constitucion,-35.33,-72.42,63.21,67,0,5.7,CL,1580007521
182,kruisfontein,-34.0,24.73,64.71,87,89,22.73,ZA,1580007521
183,nantucket,41.28,-70.1,48.99,93,90,19.46,US,1580007447
184,beyneu,45.32,55.2,35.19,84,99,22.97,KZ,1580007522
185,brigantine,39.41,-74.36,45.0,75,1,14.99,US,1580007402
186,zwedru,6.07,-8.13,71.69,99,47,1.99,LR,1580007236
187,airai,-8.93,125.41,82.2,63,48,3.29,TL,1580007307
188,carutapera,-1.2,-46.02,82.24,81,100,19.93,BR,1580007523
189,bathsheba,13.22,-59.52,77.0,83,75,1.12,BB,1580007280
190,mao,39.89,4.27,55.4,93,70,6.93,ES,1580007523
191,ostrovnoy,68.05,39.51,1.87,98,100,10.38,RU,1580007523
192,baghdad,33.34,44.4,42.8,81,0,8.05,IQ,1580007230
193,muravlenko,63.79,74.52,-0.24,95,88,9.53,RU,1580007524
